record_id,vedecky_nazev,cesky_nazev,status_v_CR,cast_rostliny,domena,poddomena,status_znalosti,aplikovatelnost_v_CR,typicke_lokality_v_CR,obdobi_ziskani,fenologicka_faze,zpusob_pripravy_nebo_vyuziti,cilovy_efekt,chutovy_profil,vonny_profil,palivovy_potencial,hlavni_rizika,kontraindikace_interakce,legalita_poznamka_CR,dukaznost_typ,dukaznost_skore,zdroj_id_1,zdroj_id_2,poznamka,record_numeric_id,is_trvanlive_1m_plus,is_jadro_bezne_1m_plus,domena_slug,status_znalosti_slug,aplikovatelnost_slug,dukaznost_rank,ma_druhy_zdroj,obdobi_mesic_od,obdobi_mesic_do,cast_rostliny_skupina,cast_rostliny_je_kombinovana,poddomena_kategorie,poddomena_kategorie_confidence,status_contains_puvodni,status_contains_zdomacnely,status_contains_pestovany,status_contains_zplanujici,status_contains_invazni,status_cetnost
R154,Plantago major L.,jitrocel větší,"původní/zdomácnělý, velmi běžný",list,pití,listový čaj,méně známé,střední,"trávníky, cesty, dvory",V–VIII,zdravý list,Sušený list na jednoduchý čaj; pro oficiální respirační použití je však lépe doložen jitrocel kopinatý.,čaj pro krk a dýchací komfort v tradičním smyslu,lehce trpká,zelená,neaplikovateln?,jen analogie k lépe doloženým plantagům,u přetrvávání obtíží řešit standardně,běžný nechráněný druh,genus analog + kurátorovaný zdroj,D,S46,S18,"Přesně označeno jako slabší analogie, ne plně ekvivalentní EMA záznam.",154,False,False,piti,mene_zname,stredni,2,True,5,8,listova_nadzemni_cast,False,caj_nalev,medium,True,True,False,False,False,velmi_bezny
R155,Malus domestica,jabloň domácí,"pěstovaná, velmi běžná",plod,potrava,křížaly / sušené plátky,mainstream,vysoká,"sady, zahrady, staré aleje, vesnické zahrady",IX–XI,plně vyzrálé skladovací plody,Nakrájet na plátky a usušit v mírném teple nebo na vzdušném místě; po dosušení skladovat v suchu.,"Lehká zásoba ovoce na zimu, svačina a přídavek do kaší či čajových směsí.","sladce ovocný, koncentrovaný",slabě jablečný,neaplikovatelné,Nedostatečné dosušení vede k plesnivění; poškozené plody nevyužívat.,Bez zvláštních interakcí; sledovat případnou intoleranci sušeného ovoce.,Sběr z vlastních nebo legálně dostupných sadů.,středoevropská ovocnářská tradice + kurátorovaný botanický zdroj,B,S27,S49,Při správném usušení běžně vydrží mnoho měsíců.,155,True,True,potrava,mainstream,vysoka,4,True,9,11,plodova_cast,False,suseni_skladovani,medium,False,False,True,False,False,velmi_bezny
R156,Malus domestica,jabloň domácí,"pěstovaná, velmi běžná",plod,pití,jablečný ocet / cider vinegar,mainstream,vysoká,"sady, zahrady, staré aleje, vesnické zahrady",IX–XI,zralé plody nebo mošt,Mošt nebo jablečný základ nechat prokvasit a dokyselit na ocet; skladovat v lahvích v chladu a temnu.,Trvanlivé kyselé dochucovadlo a nápojový základ pro další ředění.,"kyselý, ovocný",slabě ovocný,neaplikovatelné,Riziko kontaminace při špatné hygieně výroby; neplést s nehotovým kvašením.,U citlivých osob může dráždit žaludek či zuby.,Běžné domácí zpracování z legálně získaných plodů.,středoevropská ovocnářská tradice + kurátorovaný botanický zdroj,B,S27,S49,"Správně vedený ocet je bezpečně skladovatelný déle než měsíc, obvykle řadu měsíců.",156,True,True,piti,mainstream,vysoka,4,True,9,11,plodova_cast,False,ocet,medium,False,False,True,False,False,velmi_bezny
R157,Pyrus communis,hrušeň obecná,"pěstovaná, běžná",plod,potrava,sušené hrušky / křížaly,mainstream,vysoká,"sady, zahrady, staré vysokokmenné stromy, polní cesty",IX–XI,plně vyzrálé plody,"Oloupat nebo ponechat slupku podle odrůdy, nakrájet a usušit; skladovat v suchu.",Sladká zimní zásoba ovoce; lze i povařit do odvaru nebo kompotu.,"velmi sladký, medový",slabý,neaplikovatelné,Moučnaté či nahnilé plody se špatně suší; riziko plesnivění při vlhku.,Bez zvláštních interakcí.,Sběr z vlastních nebo dostupných sadů.,středoevropská ovocnářská tradice + kurátorovaný botanický zdroj,B,S27,S50,Po dosušení dobře skladovatelné po celé zimní období.,157,True,True,potrava,mainstream,vysoka,4,True,9,11,plodova_cast,False,suseni_skladovani,medium,False,False,True,False,False,bezny
R158,Pyrus communis,hrušeň obecná,"pěstovaná, běžná",plod,pití,perry / hruškový kvašený nápoj,méně známé,vysoká,"sady, zahrady, staré vysokokmenné stromy, polní cesty",IX–XI,plně vyzrálé plody vhodné na mošt,Z vylisovaných hrušek připravit mošt a nechat vykvasit; hotový nápoj skladovat v lahvích.,Trvanlivější způsob uchování úrody v tekuté podobě.,"ovocný, jemně tříslovitý",ovocný,neaplikovatelné,Riziko neřízeného kvašení a přetlaku v lahvích; nutná čistota výroby.,"Alkoholický nápoj; nevhodné pro děti, těhotné a řidiče.",Domácí zpracování z legálně získaných plodů; případná destilace podléhá zvláštním pravidlům.,středoevropská ovocnářská tradice + kurátorovaný botanický zdroj,B,S27,S50,Po dokvašení a správném uskladnění vydrží měsíce.,158,True,False,piti,mene_zname,vysoka,4,True,9,11,plodova_cast,False,fermentace,medium,False,False,True,False,False,bezny
R159,Prunus domestica,slivoň / švestka domácí,"pěstovaná, velmi běžná",plod,potrava,povidla,mainstream,vysoká,"sady, zahrady, meze se starými stromy, podhůří",VIII–X,plně vyzrálé sladké plody,Dlouze odpařit na povidla bez nebo s minimem cukru; plnit do čistých sklenic.,Velmi trvanlivá ovocná konzerva a základ sladkých jídel.,"intenzivně švestkový, sladkokyselý",švestkový,neaplikovatelné,Nedostatečné zahuštění zkracuje trvanlivost; pozor na plíseň po otevření.,Bez zvláštních interakcí.,Běžné domácí zpracování.,středoevropská kuchyňská praxe + kurátorovaný botanický zdroj,B,S30,S51,Při dobrém zavaření a skladování vydrží mnoho měsíců.,159,True,True,potrava,mainstream,vysoka,4,True,8,10,plodova_cast,False,zavarenina,medium,False,False,True,False,False,velmi_bezny
R160,Prunus domestica,slivoň / švestka domácí,"pěstovaná, velmi běžná",plod,potrava,sušené švestky,mainstream,vysoká,"sady, zahrady, meze se starými stromy, podhůří",VIII–X,plně vyzrálé plody s vyšší cukernatostí,Vypeckované nebo celé plody pomalu usušit a dosušit do skladovatelného stavu.,"Zimní zásoba ovoce, přímá svačina i přísada do jídel.","sladký, koncentrovaný",švestkový,neaplikovatelné,Při špatném dosušení plesniví; velmi sladké plody mohou být lepivé a kazivé.,Bez zvláštních interakcí; ve větším množství mohou projímat.,Běžné domácí zpracování.,středoevropská kuchyňská praxe + kurátorovaný botanický zdroj,B,S30,S51,Po správném usušení běžně vydrží měsíce.,160,True,False,potrava,mainstream,vysoka,4,True,8,10,plodova_cast,False,suseni_skladovani,medium,False,False,True,False,False,velmi_bezny
R161,Rosa canina,růže šípková,"původní, velmi běžná",šípek,pití,sušené šípky na čaj,mainstream,vysoká,"meze, křoviny, okraje cest, remízky",IX–XI,plně vybarvené zdravé šípky,"Plody rozříznout nebo dosušit celé, pečlivě vysušit a skladovat v suchu; používat do odvaru/nálevu.",Trvanlivý zimní nápojový materiál s kyselkavou ovocnou chutí.,"kyselkavý, ovocný",slabý ovocný,neaplikovatelné,Při domácím čištění dráždivé chloupky; neúplně usušené plody plesniví.,U citlivých osob může dráždit žaludek; pozor na kvalitu sušení.,Běžný sběr mimo chráněné lokality.,česká etnobotanika + kurátorovaný botanický zdroj,B,S01,S52,Dobře usušené šípky patří mezi klasické zimní zásoby na mnoho měsíců.,161,True,False,piti,mainstream,vysoka,4,True,9,11,plodova_cast,False,caj_nalev,medium,True,False,False,False,False,velmi_bezny
R162,Rosa canina,růže šípková,"původní, velmi běžná",semena z šípků,pití,náhražka kávy ze semen,téměř zapomenuté,střední,"meze, křoviny, okraje cest, remízky",IX–XI,zralé šípky po oddělení semen,"Semena očistit, usušit a opražit; poté umlít a zalévat jako kávovou náhražku.",Zapomenutější způsob využití celé suroviny s delší skladovatelností.,"pražený, oříškový, lehce kouřový",pražený,neaplikovatelné,Pracné čištění; zbytky chloupků z plodů jsou dráždivé.,Bez známých významných interakcí; jde spíše o potravní kuriozitu.,"Běžný sběr, ale zpracování je pracné.",česká etnobotanika + kurátorovaný botanický zdroj,B,S01,S52,Po usušení a opražení je směs skladovatelná řadu měsíců.,162,True,False,piti,temer_zapomenute,stredni,4,True,9,11,semena_a_orisky,False,kavova_nahrada,medium,True,False,False,False,False,velmi_bezny
R163,Sorbus aucuparia,jeřáb ptačí,"původní, běžný",plod,potrava,želé / rosol po tepelné úpravě,méně známé,vysoká,"horské a podhorské okraje lesů, meze, aleje, parky",IX–XI,"plně vybarvené plody, často po mrazu nebo po přemrznutí v mrazáku",Plody tepelně upravit a zavařit do želé nebo rosolu; často po změkčení mrazem.,Trvanlivé využití trpkých plodů v malém množství jako chuťově výrazné zavařeniny.,"trpký, kyselý, aromatický","ovocný, lehce hořkomandlový",neaplikovatelné,Syrové větší množství nebývá vhodné; nutná úprava a rozumné dávkování.,Citlivé osoby mohou hůře snášet syrové plody; tepelná úprava je preferovaná.,Běžný sběr mimo chráněné režimy.,kurátorovaný botanický zdroj / tradiční evropská praxe,B,S53,,Ve formě želé jde o výrazně trvanlivější využití než čerstvý plod.,163,True,True,potrava,mene_zname,vysoka,4,False,9,11,plodova_cast,False,zavarenina,medium,True,False,False,False,False,bezny
R164,Mespilus germanica,mišpule obecná,"pěstovaná, vzácnější",plod,potrava,uleželé plody do sklepa / bletting,méně známé,střední,"staré zahrady, sbírkové sady, teplejší polohy",X–XI,plody po sklizni před úplným změknutím,Skladovat v chladnu a nechat dojít do jedlé uleželosti; poté jíst nebo zpracovat.,"Neobvyklý způsob přirozeného „zrání ve skladu“, který prodlužuje využitelnost plodů.","sladký, jablečno-datlový, kašovitý",slabý,neaplikovatelné,Snadné přehlédnout přechod mezi uležením a kažení; vyžaduje dohled.,Bez zvláštních interakcí.,Pěstovaná a vzácnější dřevina; sběr hlavně z vlastních zdrojů.,přehledový odborný zdroj k zapomenutému ovoci,B,S25,,Při chladném uložení dává okno využití delší než měsíc.,164,True,True,potrava,mene_zname,stredni,4,False,10,11,plodova_cast,False,zavarenina,medium,False,False,True,False,False,vzacnejsi
R165,Sorbus domestica,oskeruše domácí,"původní i pěstovaná, velmi lokální",plod,potrava,sušené plody,téměř zapomenuté,střední,"jižní Morava, staré sady, vinohrady, teplé svahy",IX–X,plody po uleželosti nebo po dosušení,Uleželé plody dosušit a používat podobně jako sušené švestky nebo do kompotů.,Velmi zapomenutá trvanlivá forma starého ovocného stromu.,"sladký, hruškovitý, lehce trpký",slabý,neaplikovatelné,Lokálně vzácná dřevina; nízká dostupnost plodů.,Bez zvláštních interakcí.,Preferovat vlastní/pěstované zdroje; nepustošit lokální stromy.,přehledový odborný zdroj k zapomenutému ovoci + kurátorovaný botanický zdroj,B,S26,S62,Po usušení jde o zimní zásobu na více měsíců.,165,True,True,potrava,temer_zapomenute,stredni,4,True,9,10,plodova_cast,False,suseni_skladovani,medium,True,False,True,False,False,neurceno
R166,Sambucus nigra,bez černý,"původní, velmi běžný",květ,pití,sušený bezový květ na čaj,mainstream,vysoká,"křoviny, okraje cest, remízky, ruderály, ploty",V–VI,čerstvě rozkvetlá květenství za sucha,Květy rychle usušit ve stínu a skladovat v suchu a temnu.,Dlouhodobě skladovatelný čajový materiál s typickým květovým aroma.,medově květový,intenzivně květový,neaplikovatelné,Pomalé sušení vede k hnědnutí a ztrátě vůně.,Bezové zelené části nejsou vhodné k jídlu; pyl může dráždit citlivé osoby.,Běžný sběr mimo silnice a postřiky.,EMA + etnobotanika,A,S08,S59,Správně usušený květ vydrží měsíce a je praktičtější než čerstvé květy.,166,True,True,piti,mainstream,vysoka,5,True,5,6,kvetni_cast,False,caj_nalev,medium,True,False,False,False,False,velmi_bezny
R167,Sambucus nigra,bez černý,"původní, velmi běžný",plod,potrava a pití,bezinkový sirup / šťávový koncentrát,mainstream,vysoká,"křoviny, okraje cest, remízky, ruderály, ploty",VIII–IX,plně vyzrálé černé plody,Plody tepelně zpracovat na hustý sirup nebo šťávový koncentrát a zavařit.,Trvanlivý způsob uchování aromatických plodů na zimu.,"tmavě ovocný, sladkokyselý",ovocný,neaplikovatelné,Syrové nezralé či nedostatečně zpracované plody nejsou vhodné; nutná tepelná úprava.,Citlivé osoby mohou hůře tolerovat větší množství; syrové plody nepoužívat.,Běžný sběr čistých zralých plodů.,česká etnobotanika + kurátorovaný botanický zdroj,B,S01,S59,Ve formě sirupu vydrží obvykle mnoho měsíců.,167,True,False,potrava_a_piti,mainstream,vysoka,4,True,8,9,plodova_cast,False,sirup_koncentrat,medium,True,False,False,False,False,velmi_bezny
R168,Sambucus nigra,bez černý,"původní, velmi běžný",plod,pití,sušené bezinky do odvaru nebo čajové směsi,méně známé,střední,"křoviny, okraje cest, remízky, ruderály, ploty",VIII–IX,plně vyzrálé plody po odstopkování,"Plody dosušit a používat v malém množství do odvarů, směsí a zimních nápojů.",Kompaktní dlouhodobá zásoba bezinek bez nutnosti zavařování.,"tmavě ovocný, lehce svíravý",ovocný,neaplikovatelné,Nedostatečně usušené plody plesniví; nutná jen zralá surovina.,Nepoužívat syrové nezralé plody.,Běžný sběr z čistých míst.,kurátorovaný botanický zdroj / tradiční evropská praxe,B,S59,,Dobře usušené plody vydrží měsíce.,168,True,True,piti,mene_zname,stredni,4,False,8,9,plodova_cast,False,caj_nalev,medium,True,False,False,False,False,velmi_bezny
R169,Vaccinium myrtillus,borůvka černá,"původní, běžná lokálně až hojně",plod,potrava,sušené borůvky,méně známé,vysoká,"acidofilní lesy, paseky, vřesoviště, horské a podhorské lesy",VII–IX,plně vyzrálé plody,Plody usušit do stavu podobného drobným rozinkám; skladovat v suchu.,"Lehká trvanlivá zásoba do kaší, pečení a cestovní stravy.","sladkokyselý, borůvkový",slabě ovocný,neaplikovatelné,Snadno se kazí při nedostatečném usušení; znečištěné plody obtížně schnou.,Bez zvláštních interakcí.,Běžný sběr mimo chráněné a znečištěné lokality.,česká etnobotanika + kurátorovaný botanický zdroj,B,S01,S58,Po dobrém usušení vydrží měsíce.,169,True,False,potrava,mene_zname,vysoka,4,True,7,9,plodova_cast,False,suseni_skladovani,medium,True,False,False,False,False,lokalne_bezny
R170,Fragaria vesca,jahodník obecný,"původní, běžný",list,pití,sušený list na bylinný čaj,méně známé,střední,"světlé lesy, paseky, meze, stráně, zahrady",V–VIII,zdravé mladší listy před nebo během kvetení,Listy usušit v tenké vrstvě a skladovat v suchu.,Jemný listový čaj jako vedlejší využití běžné lesní rostliny.,"jemně trávový, tříslovitý",slabý zelený,neaplikovatelné,Sbírat jen zdravé listy bez plísní a znečištění.,Bez významných interakcí známých v běžném použití.,Střídmý sběr z čistých porostů.,kurátorovaný botanický zdroj,C,S56,,Správně usušený list vydrží měsíce.,170,True,False,piti,mene_zname,stredni,3,False,5,8,listova_nadzemni_cast,False,caj_nalev,medium,True,False,False,False,False,bezny
R171,Rubus idaeus,maliník obecný,"původní, běžný",list,pití,sušený list maliníku,mainstream,vysoká,"lesní paseky, okraje lesů, křoviny, zahrady",V–VIII,zdravé listy před plným vyzráním plodů,Listy usušit a používat samostatně nebo ve směsích.,Trvanlivý listový čaj s mírně svíravým profilem.,"jemně tříslovitý, travnatý",slabý,neaplikovatelné,Staré nebo napadené listy dávají horší kvalitu; sbírat z čistých míst.,V těhotenství je vhodná opatrnost a držet se běžných čajových množství.,Běžný sběr z neošetřených porostů.,EMA shrnutí + kurátorovaný botanický zdroj,B,S20,S57,Po usušení jde o standardní zásobu na měsíce.,171,True,True,piti,mainstream,vysoka,4,True,5,8,listova_nadzemni_cast,False,suseni_skladovani,medium,True,False,False,False,False,bezny
R172,Rubus fruticosus agg.,ostružiník křovitý,"původní/zdomácnělý, velmi běžný",list,pití,sušený list ostružiníku,méně známé,vysoká,"křoviny, paseky, náspy, okraje lesů, meze",V–VIII,zdravé mladší listy,Listy usušit a používat do čajových směsí nebo samostatně.,Trvanlivý listový nápojový materiál z velmi běžného keře.,"jemně svíravý, travnatý",slabý,neaplikovatelné,Trny komplikují sběr; sbírat jen čisté a nenapadené listy.,Bez významných interakcí známých v běžném použití.,Běžný sběr mimo postřikované okraje.,kurátorovaný botanický zdroj / tradiční evropská praxe,C,S48,,Usušený list je dobře skladovatelný po měsíce.,172,True,True,piti,mene_zname,vysoka,3,False,5,8,listova_nadzemni_cast,False,suseni_skladovani,medium,True,True,False,False,False,velmi_bezny
R173,Ribes nigrum,rybíz černý,"pěstovaný, běžný",plod,potrava a pití,černorybízový sirup,mainstream,vysoká,"zahrady, drobné ovocné výsadby",VII–VIII,plně vyzrálé plody,Plody svařit nebo lisovat na sirup a zavařit.,Velmi praktický dlouhodobý způsob uchování aromatických plodů.,"výrazně kyselý, černorybízový",ovocný,neaplikovatelné,Nedostatečně zavařený sirup může kvasit; vysoký obsah kyselin může dráždit citlivé osoby.,Bez zásadních interakcí v běžném potravním užití.,Běžné domácí zpracování z čistých keřů.,středoevropská kuchyňská praxe + kurátorovaný botanický zdroj,B,S30,S63,Ve formě sirupu běžně vydrží mnoho měsíců.,173,True,True,potrava_a_piti,mainstream,vysoka,4,True,7,8,plodova_cast,False,sirup_koncentrat,medium,False,False,True,False,False,bezny
R174,Corylus avellana,líska obecná,"původní, běžná",ořech,potrava,skladované ořechy ve skořápce,mainstream,vysoká,"lesní okraje, křoviny, meze, zahrady",IX–X,plně vyzrálé ořechy po opadu nebo snadném uvolnění,Ořechy dosušit a skladovat ve skořápce v suchu a chladu.,Jedna z nejpraktičtějších dlouhodobých lesních a zahradních zásob energie.,"oříškový, sladký",oříškový,neaplikovatelné,Riziko žluknutí či plísní při vlhku; zkažené ořechy nevyužívat.,Ořechy mohou být silný alergen.,Běžný sběr z vlastních porostů nebo přístupných keřů.,kurátorovaný botanický zdroj,B,S55,,"Ve skořápce a v chladu vydrží výrazně déle než měsíc, často přes zimu.",174,True,True,potrava,mainstream,vysoka,4,False,9,10,semena_a_orisky,False,ostatni_specialni,low,True,False,False,False,False,bezny
R175,Corylus avellana,líska obecná,"původní, běžná",ořech,potrava,olej z lískových ořechů,méně známé,střední,"lesní okraje, křoviny, meze, zahrady",IX–X,plně vyzrálé suché ořechy,Z jader lisovat jedlý olej; uchovávat v dobře uzavřené lahvi v chladu.,Koncentrovaná trvanlivá forma využití ořechů.,jemně oříškový,oříškový,neaplikovatelné,Olej může žluknout při teple a světle.,Alergie na lískové ořechy se mohou projevit i zde.,Prakticky spíše domácí lis nebo nákup; sběr ořechů běžný.,kurátorovaný botanický zdroj,C,S55,,"Dobře uložený olej vydrží měsíce, ale je citlivější než celé ořechy.",175,True,False,potrava,mene_zname,stredni,3,False,9,10,semena_a_orisky,False,olej,high,True,False,False,False,False,bezny
R176,Urtica dioica,kopřiva dvoudomá,"původní, velmi běžná",list,pití,sušený list na čaj nebo zelený prášek,méně známé,vysoká,"dusíkatá místa, zahrady, komposty, okraje cest, rumiště",IV–VI,mladé vrcholy a listy před stárnutím,"Mladé listy usušit; část lze rozemlít na prášek, část ponechat na čaj.",Velmi praktická zimní zásoba z běžné jarní rostliny.,"zelený, travnatý",zelený,neaplikovatelné,Sbírat jen z čistých míst mimo komposty se znečištěním a psí výběhy.,U citlivých osob opatrnost při vyšší konzumaci; starší listy mohou dráždit.,Běžný sběr z čistých lokalit.,česká etnobotanika + kurátorovaný botanický zdroj,B,S01,S60,Po usušení vydrží měsíce a umožňuje využít jarní nadbytek i v zimě.,176,True,True,piti,mene_zname,vysoka,4,True,4,6,listova_nadzemni_cast,False,caj_nalev,medium,True,False,False,False,False,velmi_bezny
R177,Taraxacum officinale agg.,pampeliška / smetanka,"původní, velmi běžná",kořen,pití,pražený kořen jako náhražka kávy,méně známé,vysoká,"trávníky, louky, sady, okraje cest, ruderály",III–IV nebo IX–XI,silnější kořeny před květem nebo na podzim,"Kořeny očistit, nakrájet, usušit a opražit; poté umlít nebo vařit nahrubo.",Dobře skladovatelný pražený nápojový základ.,"hořko-pražený, kořenový",pražený,neaplikovatelné,Sběr v trávnících se znečištěním nebo postřiky je nevhodný.,Hořké látky nemusí vyhovovat citlivým žaludkům.,Jen z čistých lokalit a s jistou identifikací.,EMA monografie + kurátorovaný botanický zdroj,B,S31,S61,Po usušení a opražení vydrží směs měsíce.,177,True,True,piti,mene_zname,vysoka,4,True,3,11,podzemni_cast,False,kavova_nahrada,medium,True,False,False,False,False,velmi_bezny
R178,Betula pendula / Betula pubescens,bříza bělokorá / pýřitá,"původní, běžná",míza,pití,březový ocet,méně známé,střední,"paseky, lesní okraje, písčiny, vřesoviště, zahrady, remízky",III–IV,silný jarní tok mízy,Čerstvou mízu nechat kontrolovaně zkvasit a převést do octové formy; skladovat v lahvích.,"Způsob, jak velmi krátce dostupnou mízu převést do dlouhodobější formy.","jemně kyselý, lehce dřevitý",slabý,neaplikovatelné,Riziko kontaminace a neúspěšného kvašení; mízu nelze odebírat invazivně bez poškození stromu.,Kyselé produkty mohou dráždit citlivý žaludek či zuby.,Preferovat neinvazivní sběr nebo vlastní stromy; nevrtat bezdůvodně cizí dřeviny.,etnobotanika severní a východní Evropy,B,S02,,Ocet je výrazně trvanlivější než čerstvá míza.,178,True,False,piti,mene_zname,stredni,4,False,3,4,miza,False,ocet,medium,True,False,False,False,False,bezny
R179,Juniperus communis,jalovec obecný,"původní, lokálně vzácnější",pseudoplod,potrava,sušené jalovčinky jako koření,mainstream,střední,"suché stráně, pastviny, vřesoviště, světlé lesy; často spíše pěstování nebo nákup",IX–XI druhého roku,tmavé zralé pseudoplody,"Plody dosušit a skladovat jako koření do zelí, zvěřiny a marinád.","Velmi kompaktní, aromatická a dlouhodobě skladovatelná kořenná droga.","pryskyřičný, kořenitý, hořkosladký",pryskyřičný,neaplikovatelné,Snadné zaměnění s nevhodnými jalovci v okrasách; sběr z lokálně vzácných porostů může být problematický.,Nevhodné ve větších dávkách a pro některé osoby s ledvinnými potížemi.,Raději pěstované nebo kupované plody; divoké populace mohou být lokálně citlivé.,EMA + kurátorovaný botanický zdroj,A,S05,,Sušené plody jsou typicky skladovatelné po mnoho měsíců.,179,True,True,potrava,mainstream,stredni,5,False,9,11,plodova_cast,False,koreni_dochucovadlo,medium,True,False,False,False,False,vzacnejsi
R180,Salix spp.,vrba,"původní, běžná",kůra,fytoterapie,sušená kůra do zásoby na odvar,méně známé,střední,"břehy, lužní porosty, vlhké louky; prakticky často kupovaná droga",III–IV,"mladší kůra z vhodných větví, pokud legálně a bez poškození",Kůru usušit a skladovat jako zásobu pro pozdější odvar.,Převod sezónní suroviny na dlouhodobě použitelnou léčivou drogu.,"hořký, kůrový",slabý dřevitý,neaplikovatelné,"Riziko záměny druhů, poškození stromu a nevhodného samoléčení.",Nevhodné při alergii na salicyláty a s některými léky; nejde o univerzální domácí prostředek.,Prakticky často vhodnější kupovaná droga; šetrný sběr pouze z vlastních/právně jistých zdrojů.,EMA monografie,A,S04,,Dobře usušená kůra je skladovatelná měsíce až déle.,180,True,True,fytoterapie,mene_zname,stredni,5,False,3,4,drevnata_cast,False,suseni_skladovani,medium,True,False,False,False,False,bezny
R181,Quercus robur / Q. petraea / Q. pubescens,dub,původní,kůra,fytoterapie,sušená dubová kůra do zásoby,méně známé,střední,"dubiny, parky, remízky; v praxi spíše lékárenská droga",jaro,"kůra z vhodné drogy, v praxi spíše nakoupená","Usušenou kůru skladovat pro pozdější odvar, koupel nebo kloktadlo.",Dlouhodobě použitelná tříslovinová droga pro krátkodobé zevní či střevní tradiční užití.,výrazně trpký,slabý kůrový,neaplikovatelné,Nadměrná samoléčba nevhodná; sběr kůry z živých stromů je problematický.,Pozor u déletrvajících potíží; držet krátkodobé použití.,V praxi preferovat lékárenskou drogu; divoké stromy nepoškozovat.,EMA monografie,A,S10,,Usušená droga je skladovatelná déle než měsíc.,181,True,True,fytoterapie,mene_zname,stredni,5,False,3,5,drevnata_cast,False,suseni_skladovani,medium,True,False,False,False,False,neurceno
R182,Galium odoratum,svízel vonný / mařinka vonná,"původní, lokálně běžná",sušená nať,vůně,aromatický sáček / potpourri,méně známé,střední,"stinné listnaté lesy, humózní půdy, bučiny",IV–V,nať těsně před nebo na počátku kvetení,Nať nechat lehce zavadnout a usušit; poté plnit do sáčků či směsí.,Dlouhodobá pokojová a šatní vůně s kumarinovým profilem.,neaplikovatelné,"sladce senový, kumarinový",neaplikovatelné,Příliš velké množství ve vnitřním užití není vhodné; pro vůni stačí malé dávky.,Držet spíše aromatické než potravní dávkování.,"Šetrný sběr z běžných porostů, ne z chráněných lokalit.",historické aromatické použití,B,S11,,Usušená nať vydrží měsíce a vůně se po sušení často zvýrazní.,182,True,False,vune,mene_zname,stredni,4,False,4,5,listova_nadzemni_cast,False,vune_a_vykurovani,medium,True,False,False,False,False,lokalne_bezny
R183,Humulus lupulus L.,chmel otáčivý,"původní/zdomácnělý, běžný",samičí šištice,vůně,sušené šištice do polštářku,méně známé,střední,"křoviny, lesní lemy, břehy, ploty, staré sady",VIII–IX,zralé aromatické šištice,Šištice jemně usušit a vložit do plátěného sáčku nebo polštářku.,Dlouhodobější bylinná vůně do interiéru a tradiční uklidňující doplněk.,neaplikovatelné,"pryskyřičně bylinný, chmelový",neaplikovatelné,Při špatném usušení může plesnivět; vůně časem slábne.,Citlivé osoby mohou hůře tolerovat intenzivní aroma v těsné blízkosti.,Běžný sběr z pěstovaných nebo dostupných planých rostlin.,kurátorovaný botanický zdroj / tradiční evropská praxe,C,S44,,Dobře usušené šištice vydrží několik měsíců až sezónu.,183,True,True,vune,mene_zname,stredni,3,False,8,9,semena_a_orisky,False,vune_a_vykurovani,medium,True,True,False,False,False,bezny
R184,Carum carvi,kmín kořenný,"původní až dlouhodobě pěstovaný, běžný",plod,potrava,sušené kmínové semeno jako koření,mainstream,vysoká,"louky, pole, pěstované porosty, sušší travnatá stanoviště",VI–VIII,dozrávající nažky těsně před plným výdrolem,Okolíky dosušit a vymlátit; semeno skladovat v suchu a temnu.,Jedna z nejpraktičtějších dlouhodobě skladovatelných aromatických drog v české kuchyni.,"kořenitý, teplý",kořenitý kmínový,neaplikovatelné,Snadný výdrol při pozdní sklizni; vlhko snižuje aroma.,Ve vyšších dávkách nemusí sedět citlivému žaludku.,Běžný sběr/pěstování.,EMA monografie,A,S19,,Usušené plody vydrží měsíce až déle.,184,True,True,potrava,mainstream,vysoka,5,False,6,8,plodova_cast,False,koreni_dochucovadlo,medium,True,False,True,False,False,bezny
R185,Achillea millefolium,řebříček obecný,"původní, velmi běžný",nať,fytoterapie,tinktura nebo sušená droga,méně známé,vysoká,"louky, meze, úhory, okraje cest",VI–VIII,na počátku kvetení,Nať usušit pro čajové směsi nebo naložit do lihu jako tinkturu.,Převod sezónní natě na dlouhodobější léčivou zásobu.,"hořký, aromatický","bylinný, lehce kafrový",neaplikovatelné,Asteraceae alergie; příliš vysoké dávky nejsou vhodné.,Opatrnost u citlivých osob a v těhotenství.,Běžný sběr z čistých luk.,EMA monografie,A,S09,,Sušená droga i tinktura běžně vydrží déle než měsíc.,185,True,False,fytoterapie,mene_zname,vysoka,5,False,6,8,listova_nadzemni_cast,False,liker_macerat,medium,True,False,False,False,False,velmi_bezny
